src_id,src_community,dest_id,dest_community
82876,0,1411360,0
82876,0,1412639,21
82876,0,1413175,0
82876,0,1413271,3
82876,0,1413545,22
82876,0,1415873,0
82876,0,1416902,0
82876,0,1417357,0
82876,0,1417388,4
82876,0,1417391,3
82876,0,1417455,3
82876,0,1419923,3
82876,0,1421074,0
82876,0,1426142,0
82876,0,1426822,22
82876,0,1427018,0
82876,0,142987,0
82876,0,1432988,21
82876,0,1433630,0
82876,0,1434599,0
82876,0,1439047,21
82876,0,1443870,20
82876,0,1444383,0
82876,0,1446375,0
82876,0,1446379,0
82876,0,1447525,0
82876,0,1448926,3
82876,0,1451751,0
82876,0,1452809,0
82876,0,1454254,0
82876,0,1454754,21
82876,0,1455719,0
82876,0,1456123,3
82876,0,1456403,0
82876,0,1456542,0
82876,0,1457192,0
82876,0,1458457,3
82876,0,1458793,0
82876,0,1461373,3
82876,0,1462608,0
82876,0,1464701,0
82876,0,1465132,0
82876,0,1467653,0
82876,0,1470190,0
82876,0,1471711,0
82876,0,1471824,0
82876,0,1471859,0
82876,0,1473399,0
82876,0,1473797,3
82876,0,1474871,0
82876,0,1475985,3
82876,0,147776,3
82876,0,1478087,0
82876,0,1478295,0
82876,0,147840,0
82876,0,1479159,0
82876,0,1480534,0
82876,0,1481533,0
82876,0,1481858,28
82876,0,1481915,0
82876,0,1483500,22
82876,0,1484636,0
82876,0,1486352,4
82876,0,1487982,3
82876,0,1488354,3
82876,0,1488877,0
82876,0,1489946,0
82876,0,1490494,3
